Year G I II III IV V VI VII VIII IX X XI XIV XV total
1875 0 0 0 0 0 0 0 1 1 0 0 0 1 0  3
1876 2 0 0 0 1 0 0 0 0 0 0 0 1 1  5
1877 2 0 0 0 0 0 1 1 0 0 1 0 2 0  7
1878 1 2 2 1 1 0 0 0 0 0 1 0 1 0  9
1879 0 0 0 1 1 2 2 0 1 0 0 2 1 0 10
1880 0 3 2 1 1 1 0 0 0 2 1 4 3 0 18
1881 1 0 0 2 1 0 0 1 0 1 0 0 0 0  6
1882 1 2 0 0 0 0 1 0 1 1 2 1 4 1 14
1883 0 0 1 2 0 1 2 1 0 1 0 3 0 0 11
1884 3 0 1 0 0 0 0 1 0 0 2 0 1 1  9
1885 0 0 0 0 0 0 1 0 0 2 0 1 0 1  5
1886 2 1 0 0 1 1 1 0 0 1 0 1 3 0 11
1887 1 1 2 1 0 0 3 2 1 1 0 1 2 0 15
1888 0 1 1 0 0 1 1 0 0 0 0 1 1 0  6
1889 0 0 1 1 0 1 1 0 0 1 2 2 0 2 11
1890 1 2 0 2 0 1 1 2 0 2 1 1 2 2 17
1891 0 0 0 1 1 1 0 1 1 0 3 3 1 0 12
1892 1 3 2 0 1 1 3 0 1 1 0 1 1 0 15
1893 0 1 0 0 0 1 0 2 0 0 1 3 0 0  8
1894 1 0 0 0 0 0 0 0 1 0 1 1 0 0  4
