s_ID,cluster,gender,Gender_male,Gender_female,province,Prov_EC,Prov_FS,Prov_GP,Prov_KZN,Prov_LP,Prov_MP,Prov_NW,Prov_NC,Prov_WC,education,educ,Age,industry,Exiters,Industry_mixed,Industry_livestock,Industry_fieldcrops,Industry_horticulture,Industry_forest,turnover,exp,Exiting,Exit_Retire,Exit_Danger,Exit_Finance,gens,loans_prod_dum,loans_lt_dum,loans_st_dum,loans_informal_dum,loans_none_dum,threat_drought_flood,threat_avail_relief,threat_drought_flood_rescale,threat_avail_relief_rescale,goal_lt_estrat_sell,goal_lt_estrat_crime,goal_lt_estrat_money,goal_lt_estrat_sell_rescale,goal_lt_estrat_crime_rescale,goal_lt_estrat_money_rescale,goal_fc,goal_hort,goal_past,goal_nv,goal_ls_int,goal_ls_ext,goal_emp,goal_ent_num,goal_water,goal_proc,goal_lt_prod_down,goal_lt_estrat_sub,goal_st_estrat_sub,adj_size_int_arp,adj_size_ext_ar,adj_num_int_ls,adj_num_ext_ls,adj_num_emp,adj_num_branches,adj_water_store,adj_water_underg,adj_water_run,adj_direct_cost,adj_invest_cost,adj_turnover,adj_interest_rate,const_fin_chal,const_serv_borrow,threat_dep_labour,threat_law_labour,threat_law_tenure,threat_min_wage,threat_land_ref,threat_pred,threat_law_pred,threat_law_enviro,threat_ls_theft,threat_market_access,threat_input_cost,threat_comm_price_down,threat_farm_att,threat_clim_chnge
6658784805,4,Male,1,0,Limpopo,0,0,0,0,1,0,0,0,0,Secondary & Primary & Matric,1,56,Horticulture,0,0,0,0,1,0,300000,10.5,0,2,2,2,1,0,0,0,1,0,10,8,5,4,Disagree,Disagree,Disagree,1,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,-1,0,0,0,0,1,1,1,-1,4,4,1,5,4,3,5,1,1,1,5,4,5,2,5,5
6613055672,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,33,Mixed,0,1,0,0,0,0,2.5e+07,3,0,1,1,1,5,0,1,1,0,0,4,4,2,2,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,0,0,1,0,1,1,1,1,0,0,2,2,2,1,0,1,0,1,0,0,0,1,1,1,1,0,5,3,5,3,5,5,5,1,1,3,5,2,5,5,4,5
6599924845,2,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,71,Livestock,0,0,1,0,0,0,10000000,40,0,3,2,2,3,0,0,1,0,0,3,1,2,1,Undecided,Disagree,Disagree,0,1,1,-1,1,0,0,0,0,-1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,5,5,1,5,2,1,4,5,1,1,1,5,1
6562258062,1,Female,0,1,Western Cape,0,0,0,0,0,0,0,0,1,Postgrad,3,62,Mixed,1,1,0,0,0,0,2500000,10.5,1,4,2,4,N/A,0,0,0,0,0,3,2,2,1,Agree,Disagree,Agree,-1,1,-1,0,1,-1,-1,-1,0,0,-1,0,1,0,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,3,4,4,4,4,4,3,3,3,4,1,4,4,3,1,4
6561229489,2,Male,1,0,Eastern Cape,1,0,0,0,0,0,0,0,0,Undergrad,2,53,Livestock,0,0,1,0,0,0,2.5e+07,23,0,2,3,2,1,0,1,0,0,0,10,3,5,2,Disagree,Undecided,Disagree,1,0,1,0,0,1,0,1,1,0,0,0,0,1,2,2,0,0,1,-1,0,0,0,0,0,1,1,1,0,3,1,2,5,5,2,5,5,2,4,4,1,4,4,4,5
6560223894,2,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,58,Livestock,0,0,1,0,0,0,100000000,40,0,2,2,1,4,0,1,1,0,0,4,1,2,1,Disagree,Disagree,Strongly disagree,1,1,2,0,0,1,-1,1,0,-1,-1,1,0,2,2,2,1,-1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,5,4,3,4,4,5,5,4,2,5,5,5,1
6557127059,2,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,69,Mixed,0,1,0,0,0,0,2.5e+07,40,0,2,3,2,3,0,0,0,0,1,7,3,4,2,Disagree,Undecided,Disagree,1,0,1,-1,1,0,0,0,0,1,1,0,1,1,1,1,1,-1,0,0,1,0,0,0,0,1,0,1,-1,1,1,4,5,5,5,5,2,2,4,5,1,4,1,5,2
6555350374,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,59,Horticulture,1,0,0,0,1,0,1000000,10.5,1,2,2,4,N/A,0,0,0,0,0,7,10,4,5,Disagree,Disagree,Agree,1,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,2,4,1,3,3,1,1,1,1,3,4,4,1,4
6554756350,3,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,53,Horticulture,1,0,0,0,1,0,1000000,3,1,4,2,4,1,0,0,0,0,1,10,9,5,5,Agree,Disagree,Agree,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,5,4,2,4,1,1,3,1,4,5,3,3,4
6554572442,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,64,Mixed,1,1,0,0,0,0,300000,10.5,1,5,3,4,1,0,0,0,0,1,1,1,1,1,Strongly agree,Undecided,Agree,-2,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,4,3,1
