"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.39870887477","7885.15892730063","9765.90920740626","11392.2691499861","12306.7176791493","13495.79430054","14045.4745656146","14938.6815734932","16239.9878515928","16439.3563609282","16583.8758560136","17927.9594391833","19077.6874273513","19355.3335357274","20617.7504673528","20670.3670051627","20436.8871286309","20833.976357295","22568.3749910043","23300.7383630907","24046.2263769373","25834.1117784233","27083.6348596914","24631.1820522439","23513.527696809","24985.0139185797","24712.4932628907","26441.6199357378","26893.0115056581","28396.9084228616","28452.1706146796","29350.8050189137","30253.2793580195","","",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","147.507808323481","146.910907486438","156.078705448791","182.114999978866","162.232749502709","180.087426082173","190.710481867245","192.201109669472","203.862787311898","227.747395431139","236.625919957728","253.827287732082","267.941654010885","339.519454157775","409.828127331768","424.502680090254","411.22251969966","455.931436702082","495.739662575048","563.603982575267","688.06832386098","684.720572350005","641.32987975705","643.348341444473","571.042886732382","495.314002044968","542.044416720525","643.346203082135","656.882249942829","656.721471052395","696.495104747917","703.928785595982","682.852751078503","705.988277983227","701.919085564579","770.864411297477","747.312536417693","765.425649588158","702.593998266158","675.326208009504","712.741379860402","633.160582105932","631.42336242696","819.164104874589","993.059735852733","1129.00949785988","1236.2366844266","1381.89081458097","1441.14798626335","1411.11237463277","1633.29206496015","1769.48363360076","1734.93841747362","1712.68690785294","1701.76535372646","1546.87770912565","1429.59604466631","1571.3070525457","1573.22158453912","1527.73455838966","1356.69926745665",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7732337032148","59.8608999923829","58.4580086983139","78.7064287776753","82.0953065340517","101.108325163758","137.594297961115","160.898434161304","129.108310965006","129.329760364199","156.518771348706","159.567508996258","135.317227981591","143.144649500081","173.653624742026","186.510838346447","197.445507551145","224.225001566116","247.354087806417","275.738115377232","272.655510200686","264.111197144336","","","","","","","","","","","","","","","","","","","","","179.426579211394","190.683814295088","211.382074198939","242.031313175022","263.733601866274","359.693157866109","364.6635420423","437.26874023514","543.306526178281","591.190030208565","638.845851607289","624.315454506615","614.223342360392","556.007220861443","512.012778129357","516.679862210543","485.668418729808","494.179349886029","516.747870807558",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","107.932233293366","113.081646612926","118.831106706209","123.442887950613","131.854401909578","138.526332388544","144.326212453632","128.582470199789","129.641106185266","143.715631573582","195.433564888654","169.119100472264","200.168407134048","241.711430329646","333.192493397619","377.788046952202","444.374421151956","454.790166433819","482.477486200178","584.373990532901","718.691848126908","1316.93170404015","1136.46243630013","815.900740280563","656.712783360308","651.510094102516","584.907219262827","584.119205546599","561.36145852303","510.419105485422","594.72600919977","558.435680915393","547.663092908291","445.656206211034","378.940492935926","462.864808608456","523.763526573847","515.234581172978","513.642550700989","528.577393652426","525.450342923443","539.335724366342","627.773944464993","706.955063040869","854.506836384316","1016.47597797202","1252.59514686795","1430.79640012068","1707.27226359303","1486.57265423522","1687.5519789005","1862.30826705039","1965.11848480873","2157.48114862974","2178.3684539816","1894.3101949536","1673.83552685464","1613.47355303429","1704.1396025899","1777.91867152634","1710.07336335627",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","711.40957856021","642.768196831557","620.333123364606","623.815362351581","638.099006801712","758.745063152158","685.728127726666","756.767926189975","792.833017228347","891.149280264381","948.338177965671","","","","251.078348367302","398.79099821209","522.679624255226","514.385174425759","423.619048972815","387.785124062555","556.838631674927","527.333528536691","872.494441791273","982.96100777685","1255.56451325546","1902.42214975937","2599.56594793067","3121.99608528081","4080.94103372417","3122.7815987074","3587.88364462837","4615.46821863819","5100.09702685927","5254.88112606683","5408.41170002082","4166.97983330278","3506.07312818832","4095.8100568707","3289.64399476678","2809.62608839129","1776.16686789531",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97727483821","717.380047745673","813.789396580449","1033.24253162418","1126.68334010717","1281.6598256178","1425.12421860142","1846.12012081207","2373.58129170055","2673.78658429559","2972.74292399799","3595.03805682893","4370.5399247769","4114.13489916342","4094.34838574494","4437.14261222684","4247.63004748194","4413.06200528903","4578.63320812155","3952.80253807527","4124.05538986272","4531.0193737689","5287.66369446913","5395.65953185375","5246.29230634793",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.69026097204","3496.5320229667","4218.27159918486","5342.16856044208","6320.80963168572","7169.10100559556","7151.24990940599","7751.84330741357","9127.81227979624","11818.4733427033","12378.7845111338","10372.786050001","9610.02061570912","8025.20764054036","7728.90669456943","7775.61421691636","10361.1477651737","12615.1261769143","14304.6405954742","15165.2812551732","18878.8523130643","19534.2636301538","20549.8055751695","16515.6583953924","16235.0680377239","18458.1739929996","19016.2881877293","18355.6278604321","18895.110661321","19262.3089910407","21854.2468030614","22970.5122133619","25067.2400639132","32272.8458909877","37966.1872524395","40064.2249292197","42674.7589681092","47804.8499340211","48719.6587699036","43504.2156523202","40850.2481432297","43334.8114127088","38686.4612635075","39540.7248137461","41303.9293714464","35770.7767044085","37475.6350587526","38964.904478265","41791.9698372411","40897.3308728669","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","304.671618537397","322.764148732502","354.906520908917","398.877937175605","462.534212073785","570.943899401372","1052.25369631973","1129.4953273105","1363.00124457124","1524.25120746769","1619.15599710545","2130.37476090237","2791.42283873137","2797.94969209694","2546.86735016855","2322.11423621809","2288.82488758989","2216.70288895964","2096.70758645423","2215.83225573826","2042.77421774709","2095.80257353044","2796.03448227275","1917.88984398306","2033.47993619811","2017.45839220553","2068.28616026792","2196.45609812942","2370.88829752707","2500.45561543482","2381.4280665827","2578.50834360008","2889.53992344966","2767.84331787999","2724.96117427904","2947.9309752488","3430.16648352096","4119.86157318293","4753.63742304814","5416.84547942088","6659.89892078196","5694.53229861726","6488.19118483418","6860.79765915468","7347.0957199914","7341.43290518503","7266.33444680051","6191.49287556654","5942.34511172475","5959.73801757908","6473.54953612828","6458.04387813332","5586.78178314451",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26848.0881760738","30117.9489330308","33823.1816606368","28457.0780342099","33512.6334236559","42764.5405564139","44987.5379901852","40025.8226237317","34843.1596263749","32309.8327132028","29720.8977184634","23467.8793176905","23726.3070493825","22295.1187062952","24028.2624976646","27729.3905933305","26612.253110068","26420.8598834079","25596.7393895625","25848.016250094","27221.9344117425","28975.0799572712","29512.6747918254","26899.601766231","28470.885858149","33291.3662541838","31280.7558649555","31567.5463066439","33499.1027760786","36333.1873330517","39365.4596409245","41907.4214695701","41809.4621626311","44498.9405069137","32024.1977823245","33893.2638727391","39194.672239975","40976.4907464015","42412.6395002704","43751.8056478669","38663.4005026605","38141.8671313451","40644.7911901772","43839.3244866903","42701.4430454782","36284.5552429552",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89071669257","850.304578624232","1173.23810525517","1279.11377848123","1272.80320401009","1062.54341227446","1141.08043154103","1329.058546189","1322.59063753874","1372.37417356256","1408.86537993108","2097.02283010295","2844.86331235351","2027.33720222659","1948.22468587272","2129.70836077888","2146.36495899265","2520.92071606516","2758.83481652658","2776.32208825139","2927.89735685135","3553.37750879684","2659.70824247007","2926.12648531698","3613.62170927636","3562.87605875248","3985.19246874962","2383.86747065533","4333.48337168025","5735.3599805848","6823.53883710424","6969.11972904571","7483.14033425721","7408.70866363112","7721.35410460355","8213.12512693705","8289.5075682025","7774.73620280001","7708.09911454041","7208.37311355372","2593.404563368","3349.80630031036","4277.72157290954","5109.85224490403","5919.01233837714","7245.44685667197","9020.87332314274","8225.13758261645","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14613.041824658","11795.1593866287","10056.637940265","8579.01777315683",
