,survived,pclass,sex,age,sibsp,parch,fare,embarked
0,1,1.0,female,29.0,0.0,0.0,211.3375,S
1,1,1.0,male,0.9167,1.0,2.0,151.55,S
2,0,1.0,female,2.0,1.0,2.0,151.55,S
3,0,1.0,male,30.0,1.0,2.0,151.55,S
4,0,1.0,female,25.0,1.0,2.0,151.55,S
5,1,1.0,male,48.0,0.0,0.0,26.55,S
6,1,1.0,female,63.0,1.0,0.0,77.9583,S
7,0,1.0,male,39.0,0.0,0.0,30.0,S
8,1,1.0,female,53.0,2.0,0.0,51.4792,S
9,0,1.0,male,71.0,0.0,0.0,49.5042,C
10,0,1.0,male,47.0,1.0,0.0,227.525,C
11,1,1.0,female,18.0,1.0,0.0,227.525,C
12,1,1.0,female,24.0,0.0,0.0,69.3,C
13,1,1.0,female,26.0,0.0,0.0,78.85,S
14,1,1.0,male,80.0,0.0,0.0,30.0,S
15,0,1.0,male,29.0,0.0,0.0,25.925,S
16,0,1.0,male,24.0,0.0,1.0,247.5208,C
17,1,1.0,female,50.0,0.0,1.0,247.5208,C
18,1,1.0,female,32.0,0.0,0.0,76.2917,C
19,0,1.0,male,36.0,0.0,0.0,75.2417,C
20,1,1.0,male,37.0,1.0,1.0,52.5542,S
21,1,1.0,female,47.0,1.0,1.0,52.5542,S
22,1,1.0,male,26.0,0.0,0.0,30.0,C
23,1,1.0,female,42.0,0.0,0.0,227.525,C
24,1,1.0,female,29.0,0.0,0.0,221.7792,S
25,0,1.0,male,25.0,0.0,0.0,26.0,C
26,1,1.0,male,25.0,1.0,0.0,91.0792,C
27,1,1.0,female,19.0,1.0,0.0,91.0792,C
28,1,1.0,female,35.0,0.0,0.0,135.6333,S
29,1,1.0,male,28.0,0.0,0.0,26.55,S
30,0,1.0,male,45.0,0.0,0.0,35.5,S
31,1,1.0,male,40.0,0.0,0.0,31.0,C
32,1,1.0,female,30.0,0.0,0.0,164.8667,S
33,1,1.0,female,58.0,0.0,0.0,26.55,S
34,0,1.0,male,42.0,0.0,0.0,26.55,S
35,1,1.0,female,45.0,0.0,0.0,262.375,C
36,1,1.0,female,22.0,0.0,1.0,55.0,S
37,1,1.0,male,29.0,0.0,0.0,26.55,S
38,0,1.0,male,41.0,0.0,0.0,30.5,S
39,0,1.0,male,48.0,0.0,0.0,50.4958,C
41,1,1.0,female,44.0,0.0,0.0,27.7208,C
42,1,1.0,female,59.0,2.0,0.0,51.4792,S
43,1,1.0,female,60.0,0.0,0.0,76.2917,C
44,1,1.0,female,41.0,0.0,0.0,134.5,C
45,0,1.0,male,45.0,0.0,0.0,26.55,S
46,0,1.0,male,29.0,0.0,0.0,31.0,S
47,1,1.0,male,42.0,0.0,0.0,26.2875,S
48,1,1.0,female,53.0,0.0,0.0,27.4458,C
49,1,1.0,male,36.0,0.0,1.0,512.3292,C
50,1,1.0,female,58.0,0.0,1.0,512.3292,C
51,0,1.0,male,33.0,0.0,0.0,5.0,S
52,0,1.0,male,28.0,0.0,0.0,47.1,S
53,0,1.0,male,17.0,0.0,0.0,47.1,S
54,1,1.0,male,11.0,1.0,2.0,120.0,S
55,1,1.0,female,14.0,1.0,2.0,120.0,S
56,1,1.0,male,36.0,1.0,2.0,120.0,S
57,1,1.0,female,36.0,1.0,2.0,120.0,S
58,0,1.0,male,49.0,0.0,0.0,26.0,S
59,1,1.0,female,35.5,0.0,0.0,27.7208,C
