"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28361081776166","2.2303681892209","2.11151599148506","2.57845569653916","2.57572852975443","2.51624422819115","2.73271022581606","2.75468897056363","2.64602180688275","2.98770386387974","3.06787594963466","3.04142248987022","2.96653775063911","2.85385085591123","2.8340079615275","2.94415615136321","2.86462023660146","2.88946358266144","2.96920419399976","3.0187584316389","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08418062","0.65096337","0.5429256","0.5291841","0.49784002","0.55994755","0.62779981","0.53190351","0.46915734","0.47999978","0.34288704","0.44335812","0.47265655","0.52267283","0.60012823","0.64313394","0.54922014","1.08443093","","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.714475725138664","0.893452194914051","0.708447304792229","0.934723097684715","1.09155920082885","1.0581482770716","0.93433565726084","0.845324567954613","0.770461290989972","0.766861481282234","0.677984011958398","0.713939501865295","0.726235851246733","0.726081092194524","0.658948431828638","0.749980734879779","0.728702108334491","0.755246808428473","0.744666835183575","0.744707733323305","","",
"Angola","AGO","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11098742","2.04631472","1.30862701","1.46559668","1.6866349","1.278759","1.44412029","1.72198606","2.13843656","2.60045815","1.67409575","1.71321797","1.56333554","1.69516742","1.31816006","1.23424077","1.19753671","1.29187","1.06878412","1.04434741","","",
"Albania","ALB","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.76583052","2.75327611","2.5886693","2.67035341","2.82082701","2.66531777","2.55931067","2.43571401","2.27125502","2.33805966","2.37873578","2.36556411","2.45518875","2.5777564","2.5936172","2.73134828","2.80370522","2.67507172","2.82499456","","","",
"Andorra","AND","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.90049219","3.81791782","4.07068014","3.63835096","3.36862469","3.73281956","3.06836081","3.03696775","3.80028939","4.27247238","4.5728569","4.06563091","4.06955099","4.1172142","4.18241787","4.33484316","4.35636282","4.59379148","4.58670235","4.66368246","","",
"Arab World","ARB","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12863423597768","2.37715675694842","2.35733143496082","2.30003973396002","2.13199181764012","1.98787034235124","1.99703532773857","2.04330564275647","1.94479475134354","2.54495074594363","2.24731269425623","2.36185063114175","2.3532367561074","2.52263823062247","2.7924666823841","2.9806776873051","2.92856727322095","3.14307965743053","3.00830566613752","2.99267281921787","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63412821","1.91322362","1.66402185","1.62154937","1.40600681","1.31882453","1.33256018","1.50538909","1.87160146","2.98414969","2.74825215","2.65790248","2.48480749","2.58594108","2.57659149","2.55334878","2.49996352","2.22512007","2.13816261","2.2357583","","",
"Argentina","ARG","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49895144","4.59210253","4.03350496","3.77215672","3.74438357","3.9133997","4.01898909","4.25491619","4.50853157","5.66982412","5.56834602","5.68118334","6.13486385","6.22041893","6.32730198","6.8243742","5.59118652","6.59935617","5.93580294","5.93055725","","",
