"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25242780112122","6.39062754963021","5.96941696607451","6.63566544900697","6.71073391960496","6.52809759311679","6.49250598661912","6.46848278710323","6.2996430629496","6.88625114615227","6.94635178038019","6.79277640035653","6.57312777240983","6.54238921491383","6.13293805551592","6.32839534047149","6.23543464573395","6.14907442367817","6.20223812233942","6.20493448940364","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44338989","8.94125843","9.80847359","9.94828987","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190681","7.89717579","8.80594063","9.52887058","10.10534763","11.81856155","12.62081718","14.12674332","13.24220181","","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77129356241782","3.7702550850534","3.3876116617462","4.68110245968926","4.48188332909815","4.27728400548893","4.13962129650424","3.90850626720445","3.73170988370267","3.78690128185734","3.52177502188999","3.55073141785752","3.50506277342634","3.62193545204652","3.61479434913949","3.83468457344959","3.81125336238909","3.78963052268832","3.39316057276209","3.36604397526268","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96720099","2.85219693","2.68553662","2.97438812","3.32290483","3.84260869","2.69510007","2.64560795","2.39574957","2.73282766","2.43412852","2.60579491","2.71314907","2.79150295","2.54010224","2.53335953","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2333703","7.13952398","6.90934134","7.06348991","6.77337217","6.33554173","6.00927734","6.31683397","5.1390624","4.6022253","4.7457962","4.79534149","5.05526543","5.38561106","5.50347328","4.89631176","4.91601658","5.01263571","5.23207188","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.96051121","5.86593914","6.09839916","5.63991785","5.38125277","5.73988628","5.06450415","5.0283227","5.78568554","6.23957682","6.58006001","6.08633614","6.12628031","6.15502787","6.13150549","6.28353453","6.30526257","6.58945513","6.75162506","6.71158504","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00092337012268","4.28449784165919","4.26642874398061","4.14622216699596","3.83106110800579","3.51228002721838","3.48364281881079","3.58376751968802","3.40901760517584","4.29702170752576","3.89950749134702","3.89307743257557","3.97068992030296","4.21832921485613","4.55095125228537","5.07346545216925","5.0449539023831","5.28079475147091","5.04336596061223","5.08374195425095","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204352","2.32019687","2.3254137","2.56569624","2.92847776","4.04999352","3.87874508","3.67007303","3.42520428","3.59299517","3.63020945","3.58359432","3.46601534","4.05959463","4.14545679","4.27504921","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2200098","8.37179756","7.3933115","6.89451599","7.22868299","7.61078882","7.64032841","7.83455086","8.18266869","9.45598793","9.44546986","9.41821575","9.82728195","9.78097343","9.67129135","10.22933865","9.00189686","10.44225502","9.66646481","9.5100708","","",
