"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2301801382.40968","2485090891.60987","2631272708.76339","2823558022.0961","3055199978.5086","3133020318.66048","3170171303.01453","3393569279.62489","3461168699.56895","3504019425.42137","3770906155.29224","3658862852.58389","3539084620.13974","3609000909.43814","3894529306.87018","3941822498.1459","3983235582.05039","4054942823.50401","4051264664.08933","3625081808.90544","3491496478.93603","3611815359.20855","3562338436.47966","3711893680.18288","3723029361.22343","3935242067.42296","4017882134.53394","4098239741.2414","","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","961002952128.089","962447374883.473","942910404400.759","938892601085.901","956666057657.266","998864233780.91","1054182619070.98","1091985222982.03","1112530929600.34","1142360108205.31","1180153120122.99","1223291065436.44","1268868565258.47","1307101499988.61","1380317589121.45","1466099932097.96","1563462858375.09","1668940763138.69","1743549573505.9","1758644200255.91","1851377807220.08","1927449692439.14","1975865469591.31","2058558652923.03","2144323395133.73","2213182943672.97","2270605139789.75","2334326760272.89","2396924627365.78","2449295465012.97","2381068394199.99","",
"Afghanistan","AFG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26890054382.385","29265058689.4061","29678901146.3632","33011757107.8906","34780330056.488","39589169629.9389","41143038133.026","49943751386.6576","57116893447.1231","57360414055.1093","64675178730.6937","68297470348.5577","70158264544.684","71176481723.2911","72785293847.6716","74711922906.3738","75600418108.8303","78557606648.6734","76710638229.7132","",
"Africa Western and Central","AFW","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575568725557.068","582761889693.949","597165235764.878","590949580980.211","590497784021.671","603182098251.93","631571477925.12","658959258585.499","682520907446.796","693915347501.724","718955652370.804","756504957468.317","827345228819.319","872617071199.798","941149645187.007","995611093808.916","1049046941598.96","1105772472074.27","1174779914660.55","1245555451865.93","1330075747843.16","1395316735147.77","1468410180057.42","1557044287188.57","1647824267595.73","1693253652435.01","1700220790488.55","1744086797034.34","1798625891661.43","1858840699381.04","1845090636711.18","",
"Angola","AGO","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68524299956.2213","69203621977.5983","65163320249.051","49534929134.6161","50198381863.7314","57728139157.7801","65547051778.05","70315126122.1511","73613711665.7012","75219587217.0244","77517262957.102","80777637917.8797","91816456696.4398","94561631036.5231","104918835770.191","120686998750.232","134623551003.143","153484335057.563","170622608225.526","172087766086.568","179666395220.529","185904369961.674","201784670079.693","211782181648.306","221995647525.415","224090335322.844","218308693423.998","217987314775.762","213619656135.168","212285293091.615","200821914034.722","",
"Albania","ALB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864251786.5536","11421921528.611","10601015359.5691","11614410061.5713","12578739034.3302","14254520575.9467","15551681869.046","13853440683.9803","15076619668.2046","17020117105.4776","18202371302.719","19711950862.0733","20606188274.839","21745429719.722","22944617954.3711","24212634883.0314","25641824164.3","27176041050.5387","29214255387.8492","30194186045.6543","31313465847.3792","32110520731.1146","32565604774.3405","32891917846.3074","33475568105.9092","34218299363.5357","35352629377.8478","36696816738.7391","38171793796.7109","38978524114.1681","37436768379.5007","",
"Andorra","AND","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2131874765113.24","2187699880987.02","2293433308081.42","2353914019337.93","2421530580197.07","2487713542168.28","2602840075250.53","2709519777762.42","2849830909995.34","2905150629896.7","3091912618444.04","3146878854330.91","3165273487178.16","3316919415122.88","3601314945812.02","3794334320284.45","4013239991096.75","4193894690133.94","4435510712885.45","4464989001230","4670234969882.34","4838692854095.57","5092848017096.22","5246756625450.5","5386761461251.3","5589958981769.18","5782067037639.04","5855607842336.03","6007470435922.31","6135453475865.65","5843137951826.64","",
"United Arab Emirates","ARE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203786719175.157","205539451954.676","212414633291.89","215093587426.624","229926760738.221","245304001445.894","259527718628.317","280784073367.273","281603946993.514","289776695167.022","321225302770.542","325719517895.225","333645761686.123","363008393120.375","397735361035.815","417045974401.753","458072120506.099","472658924099.828","487745423101.489","462173311464.892","469581256610.73","502116234355.811","524630081825.248","551140048310.714","575445794342.386","604565278498.984","622606812822.467","637384703409.743","644968661262.193","666972016655.959","626056612941.548","",
"Argentina","ARG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461383067200.954","503521692862.146","543487677674.491","588091597641.289","622413803601.144","604704826243.565","638124986359.867","689883602459.331","716445355021.616","692190405307.751","686729030353.619","656452248351.554","584935157747.954","636626116266.938","694110738086.543","755551060091.098","816351398559.736","889885482455.565","925990210832.673","871185248000","959396223037.209","1016997908810.97","1006559234253.78","1030770242883.07","1004870951838","1032315583600.75","1010840035079.44","1039330591568.54","1012127189427.81","991622158178.862","893498478523.547","",
