gender,height,weight
m,177,71
m,180,73
m,180,102
m,172,66
m,186,79
m,183,79
f,160,50
f,165,52
f,165,52
m,165,51
m,173,60
m,177,70
f,161,47.5
m,183,85
m,172,60
m,168,60
f,160,50
f,160,52
m,173,71
m,182,96
m,178,68
f,160,47
f,167,50
f,165,51
m,175,70
m,169,64
m,170,66
m,171,62
m,170,64
m,180,80
m,169,70
f,157,50
m,174,65
m,175,67
m,174,70
m,170,
m,,
m,174,64
f,160,53
f,160,49
m,170,63
m,177,56
m,173,84
m,172,70
m,,
m,179,71
f,164,50
f,160,49
m,180,75
f,165,50
f,165,51
m,175,68
f,,
m,177,62
m,176,67
m,181,80
f,170,
m,175,65
f,172,54
f,160,50
f,160,49
m,183,67
m,186,83
m,180,80
m,175,62
m,164,68
f,158,52
f,168,55
m,181,73
m,165,59
m,176,72
m,177,73
m,176,74
m,178,68
m,181,63
m,172,68
m,178,85
m,176,65
m,180,75
m,173,65
m,170,54
m,181,75
m,171,65
f,160,52
m,173,92
f,163,51
m,183,74
m,178,71
f,165,43
m,168,62
m,170,70
m,169,65
m,177,64
m,183,83
m,183,78
f,155,48
f,164,51
f,160,51
m,178,75
f,165,55
m,178,64
f,163,54
f,170,60
m,164,46
m,168,53
f,163,47
m,175,64
m,185,74
m,174,92
f,170,48
m,184,70
m,180,70
f,166,53
m,172,65
m,174,63
m,170,62
m,174,80
f,156,42
f,171,61
f,166,45
