no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,4,0,0,0,118,2017,12,28,1,0,0,0,110.8,2,0
2,1,0,2,0,0,0,17,2018,4,14,1,0,0,0,145.0,0,1
1,0,1,5,0,0,0,349,2018,10,4,0,0,0,0,96.67,0,1
1,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,120.0,0,1
2,0,0,4,1,0,0,11,2018,1,20,1,0,0,0,69.5,1,0
2,0,2,3,0,0,1,51,2018,9,18,1,0,0,0,149.4,1,0
1,0,0,2,0,0,4,7,2018,2,5,2,0,0,0,86.0,0,0
2,0,1,3,2,0,0,61,2018,11,21,1,0,0,0,120.7,1,0
2,0,2,2,0,0,1,32,2018,9,25,1,0,0,0,134.78,1,0
2,0,0,2,2,0,0,39,2017,8,14,0,0,0,0,109.0,0,0
2,0,0,2,1,0,0,23,2018,10,20,1,0,0,0,119.0,1,1
2,0,0,4,0,0,1,183,2018,9,21,1,0,0,0,102.1,1,1
3,0,2,5,0,0,0,1,2018,12,27,0,0,0,0,86.43,1,0
2,0,0,2,0,0,0,15,2017,12,1,1,1,1,0,69.0,0,0
1,0,1,1,0,0,0,44,2018,11,19,1,0,0,0,91.2,0,1
1,0,0,1,0,0,0,22,2017,11,17,2,0,0,0,62.0,0,0
1,0,0,2,0,0,0,85,2017,9,9,2,0,0,0,90.0,0,0
1,0,1,1,0,0,3,0,2018,3,21,4,1,0,20,0.0,2,0
2,0,1,2,1,1,0,47,2018,2,26,1,0,0,0,81.5,1,0
1,0,0,2,0,0,0,164,2017,10,2,0,0,0,0,100.0,0,0
1,0,0,1,0,0,0,27,2018,10,12,2,0,0,0,65.0,0,0
2,0,1,1,2,0,1,131,2018,8,1,1,0,0,0,162.0,3,0
2,0,0,1,0,0,0,11,2018,5,7,1,0,0,0,141.0,0,1
