index,korean,english
722,나몰빼미,Rowlet
723,빼미스로우,Dartrix
724,모크나이퍼,Decidueye
725,냐오불,Litten
726,냐오히트,Torracat
727,어흥염,Incineroar
728,누리공,Popplio
729,키요공,Brionne
730,누리레느,Primarina
731,콕코구리,Pikipek
732,크라파,Trumbeak
733,왕큰부리,Toucannon
734,영구스,Yungoos
735,형사구스,Gumshoos
736,턱지충이,Grubbin
737,전지충이,Charjabug
738,투구뿌논,Vikavolt
739,오기지게,Crabrawler
740,모단단게,Crabominable
741,춤추새,Oricorio
742,에블리,Cutiefly
743,에리본,Ribombee
744,암멍이,Rockruff
745,루가루암,Lycanroc
746,약어리,Wishiwashi
747,시마사리,Mareanie
748,더시마사리,Toxapex
749,머드나기,Mudbray
750,만마드,Mudsdale
751,물거미,Dewpider
752,깨비물거미,Araquanid
753,짜랑랑,Fomantis
754,라란티스,Lurantis
755,자마슈,Morelull
756,마셰이드,Shiinotic
757,야도뇽,Salandit
758,염뉴트,Salazzle
759,포곰곰,Stufful
760,이븐곰,Bewear
761,달콤아,Bounsweet
762,달무리나,Steenee
763,달코퀸,Tsareena
764,큐아링,Comfey
765,하랑우탄,Oranguru
766,내던숭이,Passimian
767,꼬시레,Wimpod
768,갑주무사,Golisopod
769,모래꿍,Sandygast
770,모래성이당,Palossand
771,해무기,Pyukumuku
772,타입:널,Type: Null
773,실버디,Silvally
774,메테노,Minior
775,자말라,Komala
776,폭거북스,Turtonator
777,토게데마루,Togedemaru
778,따라큐,Mimikyu
779,치갈기,Bruxish
780,할비롱,Drampa
781,타타륜,Dhelmise
782,짜랑꼬,Jangmo-o
783,짜랑고우,Hakamo-o
784,짜랑고우거,Kommo-o
785,카푸꼬꼬꼭,Tapu Koko
786,카푸나비나,Tapu Lele
787,카푸브루루,Tapu Bulu
788,카푸느지느,Tapu Fini
789,코스모그,Cosmog
790,코스모움,Cosmoem
791,솔가레오,Solgaleo
792,루나아라,Lunala
793,텅비드,Nihilego
794,매시붕,Buzzwole
795,페로코체,Pheromosa
796,전수목,Xurkitree
797,철화구야,Celesteela
798,종이신도,Kartana
799,악식킹,Guzzlord
800,네크로즈마,Necrozma
801,마기아나,Magearna
802,마샤도,Marshadow
803,베베놈,Poipole
804,아고용,Naganadel
805,차곡차곡,Stakataka
806,두파팡,Blacephalon
807,제라오라,Zeraora
808,멜탄,Meltan
809,멜메탈,Melmetal
