가격,회사명,년식,종류,연비,마력,토크,연료,LPG,하이브리드,배기량,중량,변속기
8620,기아,2015,대형,7.6,425,52,가솔린,0,0,5038,2105,자동
11150,현대,2015,대형,8.1,416,52,가솔린,0,0,5038,2065,자동
14570,현대,2015,대형,7.4,416,52,가솔린,0,0,5038,2145,자동
10687,쌍용,2015,대형,7.5,306,45,가솔린,0,0,4966,2070,자동
9324,쌍용,2015,대형,7.6,306,45,가솔린,0,0,4966,1960,자동
5680,기아,2015,대형,9.3,334,40.3,가솔린,0,0,3778,1940,자동
6910,현대,2015,대형,8.9,334,40.3,가솔린,0,0,3778,1915,자동
5463,현대,2015,대형,9,315,40.5,가솔린,0,0,3778,1930,자동
5710,현대,2015,대형,8.5,315,40.5,가솔린,0,0,3778,2000,자동
9254,쌍용,2015,대형,8,250,35,가솔린,0,0,3598,2070,자동
6565,쌍용,2015,대형,7.5,250,35,가솔린,0,0,3598,2075,자동
6095,쌍용,2015,대형,8,250,35,가솔린,0,0,3598,1990,자동
3520,삼성,2014,대형,9.4,258,33.7,가솔린,0,0,3498,1640,자동
2899,기아,2013,대형,8.2,275,34.3,가솔린,0,0,3470,2072,자동
4391,기아,2013,대형,8.2,275,34.3,가솔린,0,0,3470,2085,자동
3950,기아,2015,대형,10,294,35.3,가솔린,0,0,3342,1635,자동
4990,기아,2015,대형,9.4,300,35.5,가솔린,0,0,3342,1920,자동
3710,기아,2015,대형,8.3,280,34.3,가솔린,0,0,3342,2047,자동
3802,현대,2015,중형,8.5,290,34.8,가솔린,0,0,3342,1901,자동
3590,현대,2015,중형,8.9,290,34.8,가솔린,0,0,3342,1832,자동
4190,현대,2015,대형,9.5,294,35.3,가솔린,0,0,3342,1690,자동
4650,현대,2015,대형,9.2,282,35.4,가솔린,0,0,3342,1900,자동
4897,현대,2015,대형,8.6,282,35.4,가솔린,0,0,3342,1970,자동
6101,쌍용,2015,대형,7.6,225,30.2,가솔린,0,0,3199,2035,자동
5631,쌍용,2015,대형,8.1,225,30.2,가솔린,0,0,3199,1935,자동
