Month,KOSPI,Price_Seoul,Homeloan,Call_rate
00-Jan,50.02809889,50.16531027,,95.79158317
00-Feb,51.26339949,50.58494405,,100.6012024
00-Mar,48.1063451,51.00457782,,102.2044088
00-Apr,45.70244592,51.1698881,,102.2044088
00-May,40.45399398,51.1698881,,102.6052104
00-Jun,44.42302743,51.1698881,,102.6052104
00-Jul,44.7202979,51.3733469,,103.006012
00-Aug,39.45083745,51.58952187,,103.006012
00-Sep,36.35470775,51.90742625,,102.8056112
00-Oct,31.97758392,52.06002035,,106.8136273
00-Nov,29.68397943,51.85656155,,107.2144289
00-Dec,29.29847321,51.48779247,,107.6152305
01-Jan,32.9544798,51.43692777,,106.6132265
01-Feb,32.15878235,51.74211597,,103.2064128
01-Mar,30.42452954,52.06002035,,101.2024048
01-Apr,30.32368867,52.42878942,,100.8016032
01-May,33.19607771,53.01373347,,100.8016032
01-Jun,32.65668412,53.70040692,,100.8016032
01-Jul,31.36833702,54.59053917,,96.39278557
01-Aug,30.51434094,56.01475076,,92.38476954
01-Sep,29.34836843,57.07019329,,86.77354709
01-Oct,28.774836,57.17192269,,80.76152305
01-Nov,35.4287575,57.33723296,,80.76152305
01-Dec,37.00124475,58.12563581,,80.36072144
02-Jan,40.97920682,60.28738555,,79.75951904
02-Feb,43.178273,62.28382503,,80.36072144
02-Mar,47.39835818,63.9750763,,80.36072144
02-Apr,49.24448133,64.76347915,,80.36072144
02-May,45.95769936,65.34842319,,85.17034068
02-Jun,43.22816822,65.71719227,,86.17234469
02-Jul,42.12154476,67.02695829,,85.77154309
02-Aug,39.16774773,68.76907426,,85.97194389
02-Sep,39.49495533,71.03255341,,86.17234469
02-Oct,35.6167837,71.29959308,,86.17234469
02-Nov,38.06742682,71.13428281,,86.17234469
02-Dec,38.68560234,71.19786368,,86.37274549
03-Jan,35.01646542,70.66378433,,85.77154309
03-Feb,32.36834227,70.93082401,,86.17234469
03-Mar,30.98965856,71.40132248,,84.96993988
03-Apr,32.81372276,72.35503561,,84.96993988
03-May,33.26803187,73.51220753,,81.36272545
03-Jun,36.26542156,73.982706,,80.36072144
03-Jul,37.93769925,74.37690743,,76.55310621
03-Aug,39.88833975,74.88555443,,74.9498998
03-Sep,40.30798481,76.017294,,74.9498998
03-Oct,41.27857814,77.14903357,,74.9498998
03-Nov,42.70558144,76.65310275,,75.5511022
03-Dec,43.18089906,76.1190234,,75.5511022
04-Jan,45.64309687,75.9664293,,75.75150301
04-Feb,46.4708323,76.33519837,,75.1503006
04-Mar,47.65938897,76.7293998,,75.1503006
04-Apr,49.16307334,77.034588,,75.1503006
04-May,45.56116366,77.0854527,,75.3507014
04-Jun,42.84528805,76.90742625,,75.3507014
04-Jul,40.86313479,76.66581892,,75.3507014
04-Aug,42.55799663,76.2716175,,72.14428858
04-Sep,45.0186188,76.017294,,70.54108216
04-Oct,46.61001371,75.69938962,,70.54108216
04-Nov,46.5033955,75.38148525,,66.93386774
04-Dec,47.05486899,75.0508647,,65.53106212
05-Jan,47.44510213,74.83468973,,65.33066132
05-Feb,50.65572823,75.29247202,,65.33066132
05-Mar,51.90310873,75.5595117,,64.92985972
05-Apr,50.17936019,76.08087487,,65.13026052
05-May,49.31643549,76.55137335,,65.93186373
05-Jun,52.06644993,77.61953204,,65.53106212
