Month	KOSPI	Price_Seoul	Homeloan	Call_rate	M2	Sentiment
07-Dec	1903.99	78.64	107469.2	4.99	1269.5	59.52
08-Jan	1732.29	79.19	107433.5	4.99	1286.4	74.43
08-Feb	1689.53	79.72	106294.4	4.97	1309.2	80.63
08-Mar	1651.15	80.87	106393.8	4.97	1324	96.05
08-Apr	1776.58	82.2	107235.2	4.99	1339.4	95.65
08-May	1846.75	82.9	107892.2	4.97	1356.6	87.67
08-Jun	1758.17	83.48	108322.4	4.95	1369.7	76.51
08-Jul	1569.6	83.8	109336.9	4.98	1378.9	61.83
08-Aug	1537.55	83.97	109710.9	5.22	1386.1	54.02
08-Sep	1446.56	84.14	110055.4	5.22	1395.7	44.33
08-Oct	1201.7	84.04	110207.2	4.88	1404	26.41
08-Nov	1073.95	83.61	110702.3	4	1426.2	23.51
08-Dec	1114.9	82.6	111182.1	3.27	1436.3	18.09
09-Jan	1156.37	82.04	112031.2	2.43	1440.3	23.62
09-Feb	1139.75	81.94	112388.7	2.06	1457.9	31.91
09-Mar	1140.45	81.78	113018.5	1.77	1470.4	28
09-Apr	1322.1	81.99	113246.2	1.8	1482	45.59
09-May	1400.5	82.07	114235.4	1.91	1491.5	43.67
09-Jun	1395.24	82.38	115443.3	1.93	1501.9	50.8
09-Jul	1460.03	82.92	116903.6	1.93	1512.8	63.03
09-Aug	1577.91	83.36	117591.7	1.98	1524.9	68.29
09-Sep	1659.45	84.3	116951.9	1.99	1535.3	67.76
09-Oct	1630.61	84.7	117460.4	1.99	1551.3	48.46
09-Nov	1583.47	84.77	117896	2	1564.2	36.33
09-Dec	1646.64	84.79	118429.8	2	1570	30.24
10-Jan	1682.16	84.88	118215.3	2	1574.2	38.9
10-Feb	1598.96	85.08	118481.4	2	1595.4	38.51
10-Mar	1665.5	85.15	119222.8	2.01	1607.9	28.88
10-Apr	1730.29	85.1	119864.2	2	1621.2	20.49
10-May	1648.3	84.92	120493.6	2.01	1630.9	18.46
10-Jun	1691.94	84.63	121130.5	2	1648	15.87
10-Jul	1731.12	84.34	122113.4	2.21	1653.1	16.3
10-Aug	1762.18	84.04	121812.7	2.27	1653.9	16.57
10-Sep	1815.75	83.89	122165.4	2.27	1659.4	18.19
10-Oct	1889.7	83.79	122853.2	2.26	1669.4	16.31
10-Nov	1924.71	83.75	123508.1	2.37	1679.9	24.25
10-Dec	2002.5	83.79	124107.3	2.5	1682.9	27.9
11-Jan	2091.61	83.91	124710.3	2.66	1676.4	32.31
